dktk:54;kann
dktk:26;MUSS
dktk:1;MUSS
dktk:50;Soll
dktk:95;Soll
dktk:97;Soll
dktk:49;Soll
dktk:90;Soll
dktk:2;MUSS
dktk:83;MUSS
dktk:28;MUSS
dktk:29;MUSS
dktk:3;kann
dktk:4;MUSS
dktk:5;kann
dktk:6;MUSS
dktk:7;MUSS
dktk:8;kann
dktk:9;MUSS
dktk:89;MUSS
dktk:100;MUSS
dktk:10;kann
dktk:101;MUSS
dktk:99;MUSS
dktk:78;MUSS
dktk:79;MUSS
dktk:80;MUSS
dktk:82;kann
dktk:81;MUSS
dktk:18;kann
dktk:19;Soll
dktk:20;Soll
dktk:77;MUSS
dktk:21;MUSS
dktk:98;MUSS
dktk:33;MUSS
dktk:23;MUSS
dktk:34;MUSS
dktk:67;MUSS
dktk:68;MUSS
dktk:36;MUSS
dktk:69;MUSS
dktk:70;MUSS
dktk:38;MUSS
dktk:39;MUSS
dktk:40;MUSS
dktk:24;MUSS
dktk:25;MUSS
dktk:72;MUSS
dktk:43;MUSS
dktk:73;MUSS
dktk:45;MUSS
dktk:74;MUSS
dktk:46;MUSS
dktk:48;MUSS
dktk:53;MUSS
adt:77;kann
adt:78;kann
adt:90;kann
adt:93;kann
adt:89;kann
adt:91;kann
